createdAt,userName,action,entityType,entityId,description
2026-09-10T05:43:52.283Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-10T05:23:06.275Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T04:57:13.186Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T04:57:04.389Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T04:56:20.438Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-10T04:54:17.893Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T04:53:59.680Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T04:53:47.059Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T04:53:19.743Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-10T04:53:03.137Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-10T04:48:43.261Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-10T04:48:34.615Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-10T03:35:04.259Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:34:49.222Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:33:33.470Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:33:03.951Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:32:23.541Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:31:32.965Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:30:58.707Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T03:28:25.229Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T03:26:58.267Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:43:47.148Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-10T02:15:50.623Z,Bayu,auth.login,Auth,cmtr1g3gw001cjvs0w5akmond,"""Bayu"" login"
2026-09-10T02:15:39.757Z,Aryo,auth.loginFailed,Auth,cmtr1g3gi0019jvs0eyzlxgvx,"Percobaan login gagal (password salah) untuk ""Aryo"""
2026-09-10T02:15:33.505Z,Bayu,auth.loginFailed,Auth,cmtr1g3gw001cjvs0w5akmond,"Percobaan login gagal (password salah) untuk ""Bayu"""
2026-09-10T02:15:18.019Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-10T02:06:16.963Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:16.487Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:16.029Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:15.578Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:15.070Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:14.530Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T02:06:13.720Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T01:59:44.970Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-10T01:56:55.978Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-10T01:56:39.464Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T01:54:39.164Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-10T01:51:01.523Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T11:26:40.033Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-09T10:19:19.671Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-09T10:19:01.097Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-09T10:18:59.851Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-09T10:18:19.759Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T08:32:37.809Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-09T08:29:51.252Z,Firman,auth.login,Auth,cmtr1g3fg0011jvs00u4a8s3q,"""Firman"" login"
2026-09-09T08:29:38.536Z,Tarmono,auth.login,Auth,cmtr1g3e4000qjvs0qkxak1vt,"""Tarmono"" login"
2026-09-09T08:27:45.471Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-09T08:26:03.923Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-09T08:22:08.627Z,Aryo,auth.login,Auth,cmtr1g3gi0019jvs0eyzlxgvx,"""Aryo"" login"
2026-09-09T08:16:58.125Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-09T08:16:10.356Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-09T08:14:22.655Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-09T07:36:52.362Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T07:32:42.545Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-09T07:28:26.011Z,Agan,auth.login,Auth,cmtr1g3eh000ujvs05wfkt6wm,"""Agan"" login"
2026-09-09T07:28:13.946Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-09T07:27:35.677Z,Dirga,auth.login,Auth,cmtr1g3fu0015jvs0u5ztl62b,"""Dirga"" login"
2026-09-09T07:22:42.536Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-09T07:16:13.284Z,Tarmono,auth.login,Auth,cmtr1g3e4000qjvs0qkxak1vt,"""Tarmono"" login"
2026-09-09T07:15:59.387Z,Aryo,auth.login,Auth,cmtr1g3gi0019jvs0eyzlxgvx,"""Aryo"" login"
2026-09-09T07:15:45.672Z,Firman,auth.login,Auth,cmtr1g3fg0011jvs00u4a8s3q,"""Firman"" login"
2026-09-09T07:15:23.471Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-09T07:03:02.446Z,Wiyanto,auth.login,Auth,cmtr1g3dd000gjvs0ovn15ng1,"""Wiyanto"" login"
2026-09-09T07:01:04.352Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-09T07:00:54.877Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-09T07:00:45.209Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T06:24:18.207Z,Wiyanto,auth.login,Auth,cmtr1g3dd000gjvs0ovn15ng1,"""Wiyanto"" login"
2026-09-09T06:15:29.579Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T04:29:18.841Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T03:51:04.490Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-09T03:21:55.521Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-08T07:27:22.922Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-08T07:27:21.048Z,Firman,auth.login,Auth,cmtr1g3fg0011jvs00u4a8s3q,"""Firman"" login"
2026-09-08T07:27:17.251Z,Firman,auth.loginFailed,Auth,cmtr1g3fg0011jvs00u4a8s3q,"Percobaan login gagal (password salah) untuk ""Firman"""
2026-09-08T06:01:27.295Z,Agan,auth.login,Auth,cmtr1g3eh000ujvs05wfkt6wm,"""Agan"" login"
2026-09-08T06:01:24.275Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:01:17.095Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:01:15.973Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:01:05.128Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:00:51.363Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:00:48.949Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:00:46.723Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T06:00:26.499Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-08T05:10:53.172Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-07T17:19:08.848Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-07T16:55:22.842Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-07T16:55:22.256Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
# rows: 264
